class_map,class_code,class_name,story_role,description,pixel_count,area_km2,percent_of_valid_aoi,centroid_x,centroid_y,min_x,max_x,min_y,max_y,elevation_available,elevation_mean,elevation_median,elevation_p25,elevation_p75,slope_available,slope_mean,slope_median,slope_p25,slope_p75,aspect_available,aspect_mean,aspect_median,aspect_p25,aspect_p75,forest_mask_available
all_available_timebin,6,efficient_activation_support,efficient activation candidate,NDVI and ET are positive and WUE is nonnegative.,2390,11.711,6.701247721856161,589648.0083682009,5168531.949790795,579535.0,600395.0,5158545.0,5179825.0,True,2327.292724609375,2314.4189453125,2102.75390625,2570.1201171875,True,30.954574584960938,31.29914093017578,24.39801025390625,37.22773742675781,True,177.59828186035156,179.10008239746094,122.589111328125,230.59886169433594,False
all_available_timebin,7,product_disagreement_zone,hypothesis generator,Main products point in conflicting directions.,9032,44.2568,25.324547876068976,590239.5438441099,5168699.495128432,579465.0,600045.0,5158545.0,5180385.0,True,2280.037353515625,2295.410888671875,1990.7509765625,2560.61669921875,True,30.531362533569336,31.126405715942383,23.836549758911133,37.0766716003418,True,198.89532470703125,221.07139587402344,113.98844146728516,274.42913818359375,False
all_available_timebin,8,high_variability_zone,variability zone,One or more main products show high interannual variability.,349,1.7101,0.9785503995513809,590179.8137535816,5167983.76790831,581355.0,599625.0,5158545.0,5179615.0,True,2534.6630859375,2549.02392578125,2305.359375,2740.912353515625,True,30.321699142456055,28.429107666015625,23.226572036743164,36.33994674682617,True,194.2653045654297,196.70828247070312,125.63578796386719,273.926025390625,False
phase1_all_scene,0,unclassified_or_no_data,not interpreted,No dominant story assigned or no valid trend support.,2,0.0098,0.005755230065321861,593220.0,5173770.0,587375.0,599065.0,5169745.0,5177795.0,True,1909.6837158203125,1909.6837158203125,1892.641845703125,1926.7255859375,True,41.78546142578125,41.78546142578125,38.67471694946289,44.896202087402344,True,250.24307250976562,250.24307250976562,220.33065795898438,280.1554870605469,False
phase1_all_scene,1,stable_core,strong stability candidate,"Low interannual variability across NDVI, ET, and ESI.",384,1.8816,1.1050041725417974,590557.265625,5169328.463541667,580025.0,599975.0,5159665.0,5180385.0,True,2041.55078125,2067.4111328125,1876.4937744140625,2196.820556640625,True,31.98192596435547,31.748092651367188,24.592891693115234,38.744197845458984,True,185.39390563964844,222.90719604492188,81.37023162841797,267.48712158203125,False
phase1_all_scene,2,coherent_june_activation,coherent activation,NDVI and ET slopes are positive and ESI is nonnegative.,95,0.46549999999999997,0.2733734281027884,588372.6842105263,5169741.315789473,584085.0,599065.0,5162325.0,5174855.0,True,1816.7813720703125,1783.8304443359375,1696.69580078125,1902.609619140625,True,29.285598754882812,28.983625411987305,20.775596618652344,35.561912536621094,True,162.662841796875,178.7352294921875,120.56982421875,201.22702026367188,False
phase1_all_scene,4,esi_watch_zone_exploratory,monitoring zone,NDVI and ET are positive but ESI slope is negative.,13005,63.7245,37.4233834997554,589414.3979238755,5167648.132641292,579675.0,600395.0,5158615.0,5179825.0,True,2516.89599609375,2529.072998046875,2348.95458984375,2703.646484375,True,31.182449340820312,32.255069732666016,24.825674057006836,37.909202575683594,True,181.40687561035156,181.67660522460938,105.43568420410156,257.5040588378906,False
phase1_all_scene,5,demand_efficiency_watch_exploratory,monitoring zone,"NDVI, ET, and PET are positive while WUE is negative.",10099,49.485099999999996,29.061034214842742,589547.7864144965,5167619.187543321,579465.0,600465.0,5158545.0,5180315.0,True,2164.88720703125,2134.04736328125,1966.633056640625,2322.44287109375,True,27.656509399414062,28.019134521484375,20.69391632080078,34.4939079284668,True,152.6417999267578,137.96450805664062,80.72708129882812,219.0123291015625,False
phase1_all_scene,6,efficient_activation_support,efficient activation candidate,NDVI and ET are positive and WUE is nonnegative.,3185,15.606499999999999,9.165203879025064,590272.6263736264,5168589.813186813,579465.0,600255.0,5158615.0,5180245.0,True,2193.477294921875,2134.590087890625,1989.2655029296875,2350.589111328125,True,29.76542854309082,30.154123306274414,23.313827514648438,36.12040328979492,True,195.92837524414062,209.92869567871094,140.93310546875,256.2635803222656,False
phase1_all_scene,7,product_disagreement_zone,hypothesis generator,Main products point in conflicting directions.,1965,9.628499999999999,5.654513539178729,591350.358778626,5169866.119592875,579675.0,599975.0,5161485.0,5180385.0,True,2073.119140625,1936.805908203125,1792.61328125,2187.18212890625,True,28.44348907470703,28.495710372924805,20.82900619506836,35.880802154541016,True,170.68038940429688,172.5767822265625,83.68364715576172,252.15135192871094,False
phase1_all_scene,8,high_variability_zone,variability zone,One or more main products show high interannual variability.,38,0.1862,0.10934937124111535,590340.7894736842,5169295.52631579,583805.0,598015.0,5162395.0,5177445.0,True,2733.489013671875,2742.38671875,2682.68994140625,2754.9267578125,True,25.974075317382812,23.471778869628906,16.679244995117188,32.01978302001953,True,175.1871337890625,155.97657775878906,72.20366668701172,299.8449401855469,False
phase1_all_scene,9,seasonal_activation_zone,seasonal activation candidate,Winter-to-spring activation is consistently positive for NDVI and ET.,5978,29.292199999999998,17.202382665247043,589779.2271662763,5168060.269320843,579465.0,599905.0,5158545.0,5180315.0,True,2317.146728515625,2320.6416015625,2072.08935546875,2571.028076171875,True,30.375951766967773,31.096275329589844,23.789588928222656,36.910030364990234,True,197.74790954589844,217.9385986328125,114.14679718017578,274.16644287109375,False
