class_map,class_code,class_name,patch_id,pixel_count,area_km2,centroid_x,centroid_y,min_x,max_x,min_y,max_y
daytime_evening,6,efficient_activation_support,255,32,0.1568,583245.0,5167428.4375,582895.0,583665.0,5167225.0,5167575.0
daytime_evening,6,efficient_activation_support,272,31,0.1519,583412.0967741936,5166875.0,583035.0,583665.0,5166595.0,5167225.0
daytime_evening,7,product_disagreement_zone,11,936,4.5864,598088.3653846154,5175717.735042735,596475.0,599625.0,5173665.0,5178705.0
daytime_evening,7,product_disagreement_zone,282,670,3.283,587990.5820895522,5165389.432835821,586675.0,589055.0,5163305.0,5167925.0
daytime_evening,7,product_disagreement_zone,181,584,2.8615999999999997,597801.7636986302,5168467.7397260275,596195.0,599415.0,5166665.0,5170165.0
daytime_evening,7,product_disagreement_zone,327,516,2.5284,582057.1705426356,5164792.5,581355.0,583455.0,5163655.0,5166875.0
daytime_evening,7,product_disagreement_zone,237,446,2.1854,585959.3049327354,5167260.313901345,585205.0,586815.0,5165545.0,5168835.0
daytime_evening,7,product_disagreement_zone,310,336,1.6463999999999999,589862.9166666666,5166528.541666667,588705.0,590875.0,5165685.0,5167295.0
daytime_evening,7,product_disagreement_zone,121,333,1.6317,593540.8858858859,5171132.177177177,592205.0,594585.0,5169815.0,5172125.0
daytime_evening,7,product_disagreement_zone,430,255,1.2495,590699.0392156863,5164332.215686275,589265.0,592135.0,5163305.0,5165265.0
daytime_evening,7,product_disagreement_zone,187,238,1.1662,587334.4117647059,5169403.235294118,586255.0,588075.0,5168625.0,5170025.0
daytime_evening,7,product_disagreement_zone,221,233,1.1417,588619.3776824034,5168298.13304721,588075.0,589265.0,5167575.0,5169255.0
daytime_evening,8,high_variability_zone,25,52,0.25479999999999997,593318.2692307692,5170953.846153846,592905.0,593605.0,5170655.0,5171285.0
daytime_evening,8,high_variability_zone,40,35,0.17149999999999999,595515.0,5169871.0,595145.0,595845.0,5169675.0,5170025.0
daytime_evening,8,high_variability_zone,2,33,0.16169999999999998,597813.4848484849,5177604.090909091,597595.0,598015.0,5177375.0,5177865.0
daytime_evening,8,high_variability_zone,22,33,0.16169999999999998,592487.1212121212,5171794.090909091,592275.0,592695.0,5171635.0,5171985.0
daytime_evening,8,high_variability_zone,55,33,0.16169999999999998,582735.9090909091,5166331.96969697,582475.0,583175.0,5166175.0,5166595.0
daytime_evening,8,high_variability_zone,96,32,0.1568,587495.3125,5163068.75,587235.0,587725.0,5162815.0,5163375.0
daytime_evening,8,high_variability_zone,104,31,0.1519,583850.1612903225,5162417.580645162,583525.0,584015.0,5162115.0,5162745.0
daytime_evening,8,high_variability_zone,72,18,0.0882,585026.1111111111,5164716.666666667,584925.0,585135.0,5164425.0,5164985.0
daytime_evening,8,high_variability_zone,83,14,0.0686,589480.0,5163970.0,589405.0,589615.0,5163725.0,5164145.0
daytime_evening,8,high_variability_zone,3,13,0.06369999999999999,597853.4615384615,5177046.538461538,597735.0,598015.0,5176885.0,5177235.0
all_available_timebin,1,stable_core,71,45,0.2205,588098.3333333334,5169220.777777778,587865.0,588495.0,5168765.0,5169535.0
all_available_timebin,1,stable_core,59,15,0.0735,589451.6666666666,5169787.0,589265.0,589615.0,5169605.0,5169885.0
all_available_timebin,1,stable_core,51,13,0.06369999999999999,589539.6153846154,5170428.846153846,589335.0,589755.0,5170305.0,5170585.0
all_available_timebin,1,stable_core,14,12,0.0588,599251.6666666666,5177987.5,599065.0,599415.0,5177865.0,5178075.0
all_available_timebin,1,stable_core,146,10,0.049,588838.0,5166280.0,588775.0,588985.0,5166175.0,5166385.0
all_available_timebin,1,stable_core,165,10,0.049,586199.0,5165223.0,586115.0,586255.0,5165055.0,5165335.0
