class_map,axis,bin,class_code,class_name,pixel_count,area_km2,percent_of_class
all_available_timebin,north_south,south,2,coherent_june_activation,4,0.0196,4.25531914893617
all_available_timebin,north_south,middle_north,4,esi_watch_zone_exploratory,3204,15.6996,27.962995287135627
all_available_timebin,north_south,middle_south,4,esi_watch_zone_exploratory,4142,20.2958,36.149415255716534
all_available_timebin,north_south,north,4,esi_watch_zone_exploratory,929,4.5521,8.1078722290103
all_available_timebin,north_south,south,4,esi_watch_zone_exploratory,3183,15.5967,27.779717228137546
all_available_timebin,north_south,middle_north,5,demand_efficiency_watch_exploratory,1974,9.6726,16.687801166624396
all_available_timebin,north_south,middle_south,5,demand_efficiency_watch_exploratory,7773,38.0877,65.71138726857723
all_available_timebin,north_south,north,5,demand_efficiency_watch_exploratory,575,2.8175,4.86093499027813
all_available_timebin,north_south,south,5,demand_efficiency_watch_exploratory,1507,7.3843,12.739876574520249
all_available_timebin,north_south,middle_north,6,efficient_activation_support,614,3.0086,25.69037656903766
all_available_timebin,north_south,middle_south,6,efficient_activation_support,1061,5.1989,44.39330543933055
all_available_timebin,north_south,north,6,efficient_activation_support,318,1.5582,13.305439330543933
all_available_timebin,north_south,south,6,efficient_activation_support,397,1.9453,16.610878661087867
all_available_timebin,north_south,middle_north,7,product_disagreement_zone,2679,13.1271,29.66120460584588
all_available_timebin,north_south,middle_south,7,product_disagreement_zone,4350,21.314999999999998,48.16209034543844
all_available_timebin,north_south,north,7,product_disagreement_zone,934,4.5766,10.341009743135517
all_available_timebin,north_south,south,7,product_disagreement_zone,1069,5.2381,11.83569530558016
all_available_timebin,north_south,middle_north,8,high_variability_zone,110,0.539,31.51862464183381
all_available_timebin,north_south,middle_south,8,high_variability_zone,83,0.4067,23.78223495702006
all_available_timebin,north_south,north,8,high_variability_zone,45,0.2205,12.893982808022923
all_available_timebin,north_south,south,8,high_variability_zone,111,0.5438999999999999,31.805157593123205
all_available_timebin,west_east,east,0,unclassified_or_no_data,17,0.0833,17.525773195876287
all_available_timebin,west_east,middle_east,0,unclassified_or_no_data,25,0.1225,25.773195876288657
all_available_timebin,west_east,middle_west,0,unclassified_or_no_data,46,0.2254,47.42268041237113
all_available_timebin,west_east,west,0,unclassified_or_no_data,9,0.0441,9.278350515463918
all_available_timebin,west_east,east,1,stable_core,112,0.5488,26.923076923076923
all_available_timebin,west_east,middle_east,1,stable_core,53,0.2597,12.740384615384615
all_available_timebin,west_east,middle_west,1,stable_core,209,1.0241,50.24038461538461
all_available_timebin,west_east,west,1,stable_core,42,0.20579999999999998,10.096153846153847
all_available_timebin,west_east,east,2,coherent_june_activation,9,0.0441,9.574468085106384
all_available_timebin,west_east,middle_east,2,coherent_june_activation,15,0.0735,15.957446808510639
all_available_timebin,west_east,middle_west,2,coherent_june_activation,67,0.3283,71.27659574468085
all_available_timebin,west_east,west,2,coherent_june_activation,3,0.0147,3.1914893617021276
all_available_timebin,west_east,east,4,esi_watch_zone_exploratory,2940,14.405999999999999,25.65892825973119
all_available_timebin,west_east,middle_east,4,esi_watch_zone_exploratory,1963,9.6187,17.132134753010998
all_available_timebin,west_east,middle_west,4,esi_watch_zone_exploratory,2966,14.5334,25.885843951824057
all_available_timebin,west_east,west,4,esi_watch_zone_exploratory,3589,17.5861,31.323093035433757
all_available_timebin,west_east,east,5,demand_efficiency_watch_exploratory,2086,10.2214,17.634626764730747
all_available_timebin,west_east,middle_east,5,demand_efficiency_watch_exploratory,4031,19.7519,34.07726773184546
all_available_timebin,west_east,middle_west,5,demand_efficiency_watch_exploratory,2863,14.028699999999999,24.203229351593542
all_available_timebin,west_east,west,5,demand_efficiency_watch_exploratory,2849,13.960099999999999,24.084876151830247
all_available_timebin,west_east,east,6,efficient_activation_support,578,2.8322,24.184100418410043
all_available_timebin,west_east,middle_east,6,efficient_activation_support,534,2.6166,22.343096234309623
all_available_timebin,west_east,middle_west,6,efficient_activation_support,592,2.9008,24.769874476987447
all_available_timebin,west_east,west,6,efficient_activation_support,686,3.3613999999999997,28.702928870292887
all_available_timebin,west_east,east,7,product_disagreement_zone,2589,12.6861,28.66474756421612
all_available_timebin,west_east,middle_east,7,product_disagreement_zone,1566,7.6734,17.338352524357838
all_available_timebin,west_east,middle_west,7,product_disagreement_zone,3152,15.444799999999999,34.89813994685562
all_available_timebin,west_east,west,7,product_disagreement_zone,1725,8.4525,19.098759964570416
all_available_timebin,west_east,east,8,high_variability_zone,94,0.4606,26.93409742120344
all_available_timebin,west_east,middle_east,8,high_variability_zone,73,0.35769999999999996,20.916905444126073
all_available_timebin,west_east,middle_west,8,high_variability_zone,102,0.49979999999999997,29.22636103151863
all_available_timebin,west_east,west,8,high_variability_zone,80,0.392,22.922636103151863
phase1_all_scene,north_south,middle_north,0,unclassified_or_no_data,1,0.0049,50.0
phase1_all_scene,north_south,north,0,unclassified_or_no_data,1,0.0049,50.0
phase1_all_scene,north_south,middle_north,1,stable_core,91,0.44589999999999996,23.697916666666664
phase1_all_scene,north_south,middle_south,1,stable_core,233,1.1417,60.677083333333336
phase1_all_scene,north_south,north,1,stable_core,50,0.245,13.020833333333334
phase1_all_scene,north_south,south,1,stable_core,10,0.049,2.604166666666667
phase1_all_scene,north_south,middle_north,2,coherent_june_activation,67,0.3283,70.52631578947368
phase1_all_scene,north_south,middle_south,2,coherent_june_activation,27,0.1323,28.421052631578945
phase1_all_scene,north_south,south,2,coherent_june_activation,1,0.0049,1.0526315789473684
phase1_all_scene,north_south,middle_north,4,esi_watch_zone_exploratory,3393,16.6257,26.089965397923876
phase1_all_scene,north_south,middle_south,4,esi_watch_zone_exploratory,4902,24.0198,37.693194925028834
phase1_all_scene,north_south,north,4,esi_watch_zone_exploratory,1227,6.0123,9.434832756632066
phase1_all_scene,north_south,south,4,esi_watch_zone_exploratory,3483,17.0667,26.782006920415224
phase1_all_scene,north_south,middle_north,5,demand_efficiency_watch_exploratory,1856,9.0944,18.378057233389445
phase1_all_scene,north_south,middle_south,5,demand_efficiency_watch_exploratory,6783,33.2367,67.16506584810378
phase1_all_scene,north_south,north,5,demand_efficiency_watch_exploratory,291,1.4259,2.881473413209229
