product,source_type,year,month,time_bin,total_records,usable_records,mean_coverage_percent,min_coverage_percent
wue,statistics_csv,2022,6,morning,7,5,74.43092857142857,5.8546000000000005
wue,statistics_csv,2023,2,evening,1,0,0.0365,0.0365
wue,statistics_csv,2023,2,midday_afternoon,7,0,19.07397142857143,0.0421
wue,statistics_csv,2023,2,morning,5,0,0.48599999999999993,0.0056
wue,statistics_csv,2023,3,evening,4,0,16.4,0.073
wue,statistics_csv,2023,3,midday_afternoon,1,0,50.309000000000005,50.309000000000005
wue,statistics_csv,2023,3,morning,1,0,0.0056,0.0056
wue,statistics_csv,2023,4,evening,3,0,14.252533333333332,1.562
wue,statistics_csv,2023,4,midday_afternoon,13,0,21.375992307692307,0.12639999999999998
wue,statistics_csv,2023,4,morning,7,0,22.66547142857143,3.6492999999999998
wue,statistics_csv,2023,5,evening,1,0,64.6337,64.6337
wue,statistics_csv,2023,5,morning,2,0,12.79635,9.759500000000001
wue,statistics_csv,2023,6,evening,2,0,31.92775,14.611199999999998
wue,statistics_csv,2023,6,midday_afternoon,10,2,39.257220000000004,0.33149999999999996
wue,statistics_csv,2023,6,morning,10,7,70.14158,0.0393
wue,statistics_csv,2024,2,midday_afternoon,2,0,6.714199999999999,0.22190000000000001
wue,statistics_csv,2024,6,midday_afternoon,2,0,28.331799999999998,7.076599999999999
wue,statistics_csv,2025,1,evening,1,0,0.8175,0.8175
wue,statistics_csv,2025,2,midday_afternoon,5,0,1.9996800000000001,0.0028
wue,statistics_csv,2025,2,morning,3,0,0.6677,0.1096
wue,statistics_csv,2025,3,midday_afternoon,1,0,28.5762,28.5762
wue,statistics_csv,2025,4,evening,1,0,38.4397,38.4397
wue,statistics_csv,2025,4,midday_afternoon,2,0,41.5791,40.0663
wue,statistics_csv,2025,4,morning,5,0,32.00414,2.4666
wue,statistics_csv,2025,5,evening,1,0,0.0112,0.0112
wue,statistics_csv,2025,5,midday_afternoon,2,2,72.4,71.9969
wue,statistics_csv,2025,6,midday_afternoon,2,1,58.75375,27.3963
wue,statistics_csv,2025,6,morning,4,3,81.11025000000001,48.0672
