variable,year,season,season_label,metric,label,raster_path,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
ndvi,2024,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2024_june_standardized_anomaly.tif,-0.2935519814491272,-0.3295776844024658,-2.3683109283447266,2.417969226837158,0.6448122262954712,-1.3564878702163696,-0.6802291870117188,0.08856671303510666,0.8057023286819458,34751,34751,34751,94839,100.0,100.0
ndvi,2025,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2025_june_raw_anomaly.tif,0.024121517315506935,0.024211794137954712,-0.18753628432750702,0.20644521713256836,0.03317456692457199,-0.03032861091196537,0.0015777647495269775,0.04527699947357178,0.07963564246892929,34751,34751,34751,94839,100.0,100.0
ndvi,2025,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/ndvi_2025_june_standardized_anomaly.tif,0.5354028940200806,0.5709606409072876,-2.280817985534668,2.421196699142456,0.7124577164649963,-0.6973631381988525,0.03952161967754364,1.0433290004730225,1.6660990715026855,34751,34751,34751,94839,100.0,100.0
pet,2019,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2019_june_raw_anomaly.tif,25.84454345703125,22.763031005859375,-72.25433349609375,154.86813354492188,32.54953384399414,-20.83099365234375,0.77081298828125,48.42603302001953,84.07231140136719,34751,34751,34751,94839,100.0,100.0
pet,2019,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2019_june_standardized_anomaly.tif,0.4083521068096161,0.45665526390075684,-1.732849359512329,2.027461528778076,0.5570264458656311,-0.5307450294494629,0.019083639606833458,0.8129331469535828,1.252785325050354,34751,34751,34751,94839,100.0,100.0
pet,2020,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2020_june_raw_anomaly.tif,-75.14883422851562,-69.57049560546875,-243.51419067382812,18.738906860351562,39.26527786254883,-146.292724609375,-100.47747802734375,-45.383460998535156,-20.866958618164062,34751,34751,34751,94839,100.0,100.0
pet,2020,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2020_june_standardized_anomaly.tif,-1.3787729740142822,-1.444240927696228,-2.281989574432373,0.3127364218235016,0.4238302707672119,-1.9695649147033691,-1.6817079782485962,-1.1395413875579834,-0.5539941787719727,34751,34751,34751,94839,100.0,100.0
pet,2021,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2021_june_raw_anomaly.tif,-42.353580474853516,-40.668060302734375,-122.53114318847656,25.148330688476562,17.955087661743164,-74.7028579711914,-53.07398986816406,-30.505455017089844,-15.076919555664062,34751,34751,34751,94839,100.0,100.0
pet,2021,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2021_june_standardized_anomaly.tif,-0.8399479985237122,-0.8478309512138367,-1.9572356939315796,0.43242788314819336,0.314383327960968,-1.3375414609909058,-1.0632895231246948,-0.6326379776000977,-0.30157357454299927,34751,34751,34751,94839,100.0,100.0
pet,2022,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2022_june_raw_anomaly.tif,36.245079040527344,36.594696044921875,-56.80104064941406,130.99778747558594,23.351896286010742,-3.4840774536132812,22.34125518798828,51.05139923095703,73.92617797851562,34751,34751,34751,94839,100.0,100.0
pet,2022,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2022_june_standardized_anomaly.tif,0.7714514136314392,0.7946211099624634,-0.7397809028625488,2.397583246231079,0.4868444502353668,-0.052903808653354645,0.4341472387313843,1.1221036911010742,1.5348302125930786,34751,34751,34751,94839,100.0,100.0
pet,2023,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2023_june_raw_anomaly.tif,-19.031028747558594,-15.810256958007812,-137.60739135742188,138.2518310546875,28.31345558166504,-73.75223541259766,-32.52644348144531,-1.822265625,21.099273681640625,34751,34751,34751,94839,100.0,100.0
pet,2023,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2023_june_standardized_anomaly.tif,-0.34684130549430847,-0.34209296107292175,-1.8458348512649536,1.6762596368789673,0.4619898796081543,-1.1173200607299805,-0.6654835939407349,-0.039960213005542755,0.41229528188705444,34751,34751,34751,94839,100.0,100.0
pet,2024,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2024_june_raw_anomaly.tif,28.721452713012695,26.172164916992188,-201.2021484375,284.95458984375,63.4515266418457,-75.9284439086914,-14.002937316894531,75.45297241210938,129.1953125,34510,34510,34751,94839,99.30649477712872,99.30649477712872
pet,2024,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2024_june_standardized_anomaly.tif,0.42940637469291687,0.6070983409881592,-2.3147661685943604,2.262972116470337,1.042768955230713,-1.5045843124389648,-0.35309863090515137,1.3184118270874023,1.778014898300171,34510,34510,34751,94839,99.30649477712872,99.30649477712872
pet,2025,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/pet_2025_june_raw_anomaly.tif,45.92155075073242,45.912689208984375,-57.334564208984375,149.99244689941406,25.686548233032227,2.9787368774414062,29.777435302734375,62.82361602783203,88.69164276123047,34751,34751,34751,94839,100.0,100.0
